district,date,month,year,visitors
Adilabad,"Tuesday, January 1, 2019",January,2019,25071
Adilabad,"Friday, February 1, 2019",February,2019,406177
Adilabad,"Friday, March 1, 2019",March,2019,14347
Adilabad,"Monday, April 1, 2019",April,2019,9972
Adilabad,"Wednesday, May 1, 2019",May,2019,6997
Adilabad,"Saturday, June 1, 2019",June,2019,9161
Adilabad,"Monday, July 1, 2019",July,2019,11791
Adilabad,"Thursday, August 1, 2019",August,2019,108173
Adilabad,"Sunday, September 1, 2019",September,2019,37589
Adilabad,"Tuesday, October 1, 2019",October,2019,38184
Adilabad,"Friday, November 1, 2019",November,2019,70344
Adilabad,"Sunday, December 1, 2019",December,2019,38089
Bhadradri Kothagudem ,"Tuesday, January 1, 2019",January,2019,283365
Bhadradri Kothagudem ,"Friday, February 1, 2019",February,2019,229159
Bhadradri Kothagudem ,"Friday, March 1, 2019",March,2019,225448
Bhadradri Kothagudem ,"Monday, April 1, 2019",April,2019,349585
Bhadradri Kothagudem ,"Wednesday, May 1, 2019",May,2019,275800
Bhadradri Kothagudem ,"Saturday, June 1, 2019",June,2019,9761776
Bhadradri Kothagudem ,"Monday, July 1, 2019",July,2019,233338
Bhadradri Kothagudem ,"Thursday, August 1, 2019",August,2019,271941
Bhadradri Kothagudem ,"Sunday, September 1, 2019",September,2019,314199
Bhadradri Kothagudem ,"Tuesday, October 1, 2019",October,2019,287432
Bhadradri Kothagudem ,"Friday, November 1, 2019",November,2019,298366
Bhadradri Kothagudem ,"Sunday, December 1, 2019",December,2019,287328
Hyderabad,"Tuesday, January 1, 2019",January,2019,1426500
Hyderabad,"Friday, February 1, 2019",February,2019,983147
Hyderabad,"Friday, March 1, 2019",March,2019,1009991
Hyderabad,"Monday, April 1, 2019",April,2019,1045933
Hyderabad,"Wednesday, May 1, 2019",May,2019,1305748
Hyderabad,"Saturday, June 1, 2019",June,2019,1262995
Hyderabad,"Monday, July 1, 2019",July,2019,1094861
Hyderabad,"Thursday, August 1, 2019",August,2019,1121380
Hyderabad,"Sunday, September 1, 2019",September,2019,959930
Hyderabad,"Tuesday, October 1, 2019",October,2019,1240643
Hyderabad,"Friday, November 1, 2019",November,2019,1073665
Hyderabad,"Sunday, December 1, 2019",December,2019,1277569
Jagtial ,"Tuesday, January 1, 2019",January,2019,211913
Jagtial ,"Friday, February 1, 2019",February,2019,215105
Jagtial ,"Friday, March 1, 2019",March,2019,194090
Jagtial ,"Monday, April 1, 2019",April,2019,447226
Jagtial ,"Wednesday, May 1, 2019",May,2019,500206
Jagtial ,"Saturday, June 1, 2019",June,2019,235363
Jagtial ,"Monday, July 1, 2019",July,2019,157419
Jagtial ,"Thursday, August 1, 2019",August,2019,151570
Jagtial ,"Sunday, September 1, 2019",September,2019,157564
Jagtial ,"Tuesday, October 1, 2019",October,2019,165070
Jagtial ,"Friday, November 1, 2019",November,2019,277630
Jagtial ,"Sunday, December 1, 2019",December,2019,372959
Jangaon ,"Tuesday, January 1, 2019",January,2019,28750
Jangaon ,"Friday, February 1, 2019",February,2019,28810
Jangaon ,"Friday, March 1, 2019",March,2019,27300
Jangaon ,"Monday, April 1, 2019",April,2019,26160
Jangaon ,"Wednesday, May 1, 2019",May,2019,26740
Jangaon ,"Saturday, June 1, 2019",June,2019,25820
Jangaon ,"Monday, July 1, 2019",July,2019,24160
Jangaon ,"Thursday, August 1, 2019",August,2019,27800
Jangaon ,"Sunday, September 1, 2019",September,2019,28640
Jangaon ,"Tuesday, October 1, 2019",October,2019,27840
Jangaon ,"Friday, November 1, 2019",November,2019,28410
Jangaon ,"Sunday, December 1, 2019",December,2019,28460
Jayashankar Bhoopalpally,"Tuesday, January 1, 2019",January,2019,197430
Jayashankar Bhoopalpally,"Friday, February 1, 2019",February,2019,33500
Jayashankar Bhoopalpally,"Friday, March 1, 2019",March,2019,37500
Jayashankar Bhoopalpally,"Monday, April 1, 2019",April,2019,38500
Jayashankar Bhoopalpally,"Wednesday, May 1, 2019",May,2019,30800
Jayashankar Bhoopalpally,"Saturday, June 1, 2019",June,2019,40500
Jayashankar Bhoopalpally,"Monday, July 1, 2019",July,2019,45500
Jayashankar Bhoopalpally,"Thursday, August 1, 2019",August,2019,45000
Jayashankar Bhoopalpally,"Sunday, September 1, 2019",September,2019,50500
Jayashankar Bhoopalpally,"Tuesday, October 1, 2019",October,2019,46000
Jayashankar Bhoopalpally,"Friday, November 1, 2019",November,2019,51500
