district,date,month,year,visitors
Adilabad,"Monday, January 1, 2018",January,2018,0
Adilabad,"Thursday, February 1, 2018",February,2018,0
Adilabad,"Thursday, March 1, 2018",March,2018,0
Adilabad,"Sunday, April 1, 2018",April,2018,0
Adilabad,"Tuesday, May 1, 2018",May,2018,0
Adilabad,"Friday, June 1, 2018",June,2018,0
Adilabad,"Sunday, July 1, 2018",July,2018,2
Adilabad,"Wednesday, August 1, 2018",August,2018,3
Adilabad,"Saturday, September 1, 2018",September,2018,0
Adilabad,"Monday, October 1, 2018",October,2018,0
Adilabad,"Thursday, November 1, 2018",November,2018,0
Adilabad,"Saturday, December 1, 2018",December,2018,0
Bhadradri Kothagudem ,"Monday, January 1, 2018",January,2018,0
Bhadradri Kothagudem ,"Thursday, February 1, 2018",February,2018,0
Bhadradri Kothagudem ,"Thursday, March 1, 2018",March,2018,0
Bhadradri Kothagudem ,"Sunday, April 1, 2018",April,2018,0
Bhadradri Kothagudem ,"Tuesday, May 1, 2018",May,2018,0
Bhadradri Kothagudem ,"Friday, June 1, 2018",June,2018,0
Bhadradri Kothagudem ,"Sunday, July 1, 2018",July,2018,0
Bhadradri Kothagudem ,"Wednesday, August 1, 2018",August,2018,0
Bhadradri Kothagudem ,"Saturday, September 1, 2018",September,2018,0
Bhadradri Kothagudem ,"Monday, October 1, 2018",October,2018,0
Bhadradri Kothagudem ,"Thursday, November 1, 2018",November,2018,0
Bhadradri Kothagudem ,"Saturday, December 1, 2018",December,2018,0
Hyderabad,"Monday, January 1, 2018",January,2018,35379
Hyderabad,"Thursday, February 1, 2018",February,2018,30414
Hyderabad,"Thursday, March 1, 2018",March,2018,27535
Hyderabad,"Sunday, April 1, 2018",April,2018,20830
Hyderabad,"Tuesday, May 1, 2018",May,2018,21554
Hyderabad,"Friday, June 1, 2018",June,2018,24677
Hyderabad,"Sunday, July 1, 2018",July,2018,17456
Hyderabad,"Wednesday, August 1, 2018",August,2018,31217
Hyderabad,"Saturday, September 1, 2018",September,2018,22809
Hyderabad,"Monday, October 1, 2018",October,2018,30072
Hyderabad,"Thursday, November 1, 2018",November,2018,23487
Hyderabad,"Saturday, December 1, 2018",December,2018,29358
Jagtial ,"Monday, January 1, 2018",January,2018,0
Jagtial ,"Thursday, February 1, 2018",February,2018,0
Jagtial ,"Thursday, March 1, 2018",March,2018,0
Jagtial ,"Sunday, April 1, 2018",April,2018,0
Jagtial ,"Tuesday, May 1, 2018",May,2018,0
Jagtial ,"Friday, June 1, 2018",June,2018,0
Jagtial ,"Sunday, July 1, 2018",July,2018,0
Jagtial ,"Wednesday, August 1, 2018",August,2018,0
Jagtial ,"Saturday, September 1, 2018",September,2018,0
Jagtial ,"Monday, October 1, 2018",October,2018,0
